127.0.0.1, 2015-03-04 05:13:12, GET, /, HTTP/1.1, 200, 1.787000
127.0.0.1, 2015-03-04 05:13:18, GET, /, HTTP/1.1, 200, 0.037000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:13:18, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-03-04 05:13:19, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/site, HTTP/1.1, 303, 0.614000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin, HTTP/1.1, 200, 0.101000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/js/jquery.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/css/calendar.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/js/web2py.js, HTTP/1.1, 200, 0.043000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/js/calendar.js, HTTP/1.1, 200, 0.055000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/css/bootstrap.min.css, HTTP/1.1, 200, 0.035000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.063000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.025000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.025000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/plugin_multiselect/start.js, HTTP/1.1, 200, 0.034000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/js/bootstrap.min.js, HTTP/1.1, 200, 0.044000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/images/questions.png, HTTP/1.1, 200, 0.037000
127.0.0.1, 2015-03-04 05:13:27, GET, /admin/static/_2.9.12/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.037000
127.0.0.1, 2015-03-04 05:13:28, GET, /favicon.ico, HTTP/1.1, 404, 0.000000
127.0.0.1, 2015-03-04 05:13:30, POST, /admin, HTTP/1.1, 303, 0.026000
127.0.0.1, 2015-03-04 05:13:30, GET, /admin/site, HTTP/1.1, 200, 0.058000
127.0.0.1, 2015-03-04 05:13:30, GET, /admin/static/_2.9.12/images/folder_locked.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-03-04 05:13:30, GET, /admin/static/_2.9.12/images/folder.png, HTTP/1.1, 200, 0.032000
127.0.0.1, 2015-03-04 05:13:30, GET, /admin/static/_2.9.12/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-03-04 05:13:30, POST, /admin/check_version, HTTP/1.1, 200, 0.229000
127.0.0.1, 2015-03-04 05:15:00, POST, /admin/site, HTTP/1.1, 200, 0.035000
127.0.0.1, 2015-03-04 05:15:18, POST, /admin/site, HTTP/1.1, 303, 0.159000
127.0.0.1, 2015-03-04 05:15:18, GET, /admin/design/artfweb, HTTP/1.1, 200, 0.185000
127.0.0.1, 2015-03-04 05:15:18, GET, /admin/static/_2.9.12/images/search.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:15:18, GET, /admin/static/_2.9.12/images/help.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 05:15:18, GET, /admin/static/_2.9.12/images/test_icon.png, HTTP/1.1, 200, 0.023000
127.0.0.1, 2015-03-04 05:15:18, GET, /admin/static/_2.9.12/images/delete_icon.png, HTTP/1.1, 200, 0.026000
127.0.0.1, 2015-03-04 05:17:01, GET, /, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-03-04 05:17:54, GET, /, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-03-04 05:18:00, GET, /, HTTP/1.1, 200, 0.603000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/css/web2py.css, HTTP/1.1, 200, 0.002000

127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-03-04 05:18:01, GET, /artfweb/static/js/calendar.js, HTTP/1.1, 200, 0.000000
